"TransactionID","itemDescription"
"3572_09-07-2015","pork"
"4387_08-05-2015","whole milk"
"1555_27-03-2015","rolls/buns"
"1181_16-11-2015","sausage"
"2814_11-05-2015","ice cream"
"2794_16-09-2015","liquor"
"2912_28-01-2015","pip fruit"
"4667_12-01-2015","root vegetables"
"2235_25-10-2015","soda"
"2353_02-05-2015","soda"
"3449_08-03-2015","sausage"
"1058_10-11-2015","root vegetables"
"1027_17-05-2015","pork"
"3302_22-05-2015","pork"
"2229_30-05-2015","chocolate"
"2188_15-08-2015","fruit/vegetable juice"
"1547_18-04-2015","pickled vegetables"
"1649_30-06-2015","bottled water"
"3254_10-09-2015","frankfurter"
"2818_07-11-2015","tropical fruit"
"2703_08-05-2015","canned beer"
"3332_31-01-2015","root vegetables"
"2473_01-07-2015","meat"
"2810_30-12-2015","frankfurter"
"1033_22-04-2015","tropical fruit"
"4222_27-05-2015","tropical fruit"
"3679_21-09-2015","citrus fruit"
"2212_27-08-2015","hamburger meat"
"1507_22-06-2015","chicken"
"2870_21-01-2015","chicken"
"3429_26-04-2015","frankfurter"
"4148_09-04-2015","canned beer"
"2970_30-12-2015","turkey"
"2013_30-08-2015","packaged fruit/vegetables"
"3967_30-05-2015","pasta"
"2885_15-05-2015","citrus fruit"
"3935_02-07-2015","sausage"
"3283_01-05-2015","whole milk"
"3268_06-11-2015","canned beer"
"3677_30-04-2015","citrus fruit"
"3495_27-06-2015","liquor (appetizer)"
"1410_04-10-2015","citrus fruit"
"2440_06-06-2015","sausage"
"4088_13-01-2015","chicken"
"2469_23-09-2015","hamburger meat"
"4229_06-03-2015","sausage"
"2728_02-08-2015","beef"
"4694_25-01-2015","citrus fruit"
"2836_29-12-2015","UHT-milk"
"1311_12-02-2015","candy"
"1760_23-01-2015","newspapers"
"3656_02-03-2015","beef"
"3720_28-05-2015","sausage"
"2996_26-09-2015","frankfurter"
"1949_22-07-2015","canned beer"
"4498_11-02-2015","bottled beer"
"2447_28-12-2015","onions"
"1952_23-03-2015","tropical fruit"
"4099_27-01-2015","bottled water"
"1804_12-03-2015","beef"
"1510_16-05-2015","sausage"
"2879_18-04-2015","hair spray"
"4899_12-03-2015","chicken"
"4326_29-09-2015","pork"
"1670_17-05-2015","ice cream"
"1117_24-05-2015","meat"
"1346_03-04-2015","other vegetables"
"1178_15-11-2015","bottled water"
"1649_25-06-2015","tropical fruit"
"4651_21-06-2015","photo/film"
"4243_02-04-2015","sausage"
"4429_21-07-2015","grapes"
"4645_25-07-2015","domestic eggs"
"4019_24-07-2015","rolls/buns"
"4459_26-04-2015","tropical fruit"
"3006_27-12-2015","chicken"
"1834_17-09-2015","frankfurter"
"3236_04-07-2015","berries"
"1765_11-03-2015","margarine"
"3855_09-03-2015","tropical fruit"
"4392_28-11-2015","ham"
"3330_26-07-2015","hamburger meat"
"1723_02-09-2015","yogurt"
"4110_30-03-2015","soda"
"2600_28-01-2015","yogurt"
"2946_07-10-2015","soda"
"2426_08-09-2015","bottled water"
"4170_03-05-2015","sausage"
"1109_06-04-2015","citrus fruit"
"3429_04-01-2015","shopping bags"
"2055_04-02-2015","newspapers"
"2480_20-09-2015","frankfurter"
"2441_30-05-2015","sausage"
"1054_04-10-2015","frankfurter"
"4818_11-01-2015","salt"
"3379_21-01-2015","oil"
"3939_10-02-2015","curd"
"1367_05-08-2015","other vegetables"
"1043_10-01-2015","citrus fruit"
"2231_17-10-2015","frankfurter"
"3235_28-12-2015","root vegetables"
"4554_16-07-2015","tropical fruit"
"3245_24-01-2015","beef"
"2996_19-05-2015","berries"
"2507_05-01-2015","canned beer"
"4186_25-10-2015","whipped/sour cream"
"3929_28-04-2015","root vegetables"
"3760_22-11-2015","whole milk"
"4928_18-08-2015","beef"
"4217_18-12-2015","frozen vegetables"
"1174_11-02-2015","rolls/buns"
"4103_19-06-2015","whole milk"
"4408_13-03-2015","whole milk"
"2588_28-12-2015","citrus fruit"
"2598_11-11-2015","pastry"
"1518_11-12-2015","frankfurter"
"2702_08-04-2015","tropical fruit"
"1001_20-01-2015","frankfurter"
"2270_30-09-2015","berries"
"2838_10-11-2015","rolls/buns"
"1683_26-05-2015","root vegetables"
"4040_03-04-2015","yogurt"
"3897_23-08-2015","other vegetables"
"2200_11-03-2015","berries"
"4073_29-01-2015","berries"
"3700_19-04-2015","other vegetables"
"3973_10-06-2015","rolls/buns"
"2715_06-07-2015","ham"
"3967_23-11-2015","whole milk"
"4002_03-09-2015","tropical fruit"
"2962_01-03-2015","bottled water"
"4340_25-12-2015","butter milk"
"2092_06-11-2015","newspapers"
"3143_24-05-2015","coffee"
"2209_03-10-2015","bottled beer"
"2816_22-08-2015","onions"
"2659_01-06-2015","hamburger meat"
"1588_13-10-2015","sausage"
"1144_15-10-2015","hard cheese"
"2166_10-12-2015","sausage"
"3300_06-10-2015","hamburger meat"
"3944_03-01-2015","onions"
"4979_24-04-2015","coffee"
"2630_21-01-2015","shopping bags"
"4240_29-04-2015","yogurt"
"2357_08-07-2015","soda"
"1743_18-04-2015","sliced cheese"
"2331_15-02-2015","sausage"
"1643_28-04-2015","yogurt"
"1291_20-03-2015","domestic eggs"
"3675_04-07-2015","whole milk"
"4134_06-11-2015","meat"
"1363_21-06-2015","dish cleaner"
"4212_01-05-2015","other vegetables"
"1500_21-03-2015","whole milk"
"2622_01-10-2015","other vegetables"
"3543_18-03-2015","tropical fruit"
"2525_24-05-2015","baking powder"
"1264_12-10-2015","specialty bar"
"3601_06-07-2015","ice cream"
"1771_23-03-2015","frankfurter"
"4694_06-02-2015","canned beer"
"1122_21-12-2015","bottled water"
"3507_12-08-2015","other vegetables"
"4524_26-04-2015","citrus fruit"
"3612_27-09-2015","sausage"
"3262_11-06-2015","domestic eggs"
"1897_25-01-2015","pork"
"1656_30-10-2015","specialty cheese"
"3953_10-01-2015","pork"
"1488_21-06-2015","beef"
"1652_17-03-2015","other vegetables"
"4953_16-09-2015","chicken"
"3445_30-04-2015","soda"
"3180_15-03-2015","whole milk"
"4934_06-09-2015","rolls/buns"
"2980_27-04-2015","bottled beer"
"2763_13-02-2015","root vegetables"
"4819_04-03-2015","pastry"
"3169_02-07-2015","berries"
"1850_11-03-2015","citrus fruit"
"4285_29-12-2015","whole milk"
"4366_13-08-2015","soda"
"2253_16-06-2015","bottled water"
"3398_11-03-2015","tropical fruit"
"2215_22-07-2015","salty snack"
"3737_03-03-2015","bottled water"
"2649_28-11-2015","chocolate"
"3203_07-08-2015","citrus fruit"
"4261_16-02-2015","bottled water"
"2435_17-07-2015","onions"
"2046_21-08-2015","dessert"
"4267_11-02-2015","beef"
"1086_28-12-2015","rolls/buns"
"1992_04-01-2015","beef"
"3622_26-07-2015","soda"
"4700_27-06-2015","coffee"
"2272_16-05-2015","rolls/buns"
"1663_19-05-2015","pork"
"2519_03-06-2015","soda"
"2639_30-10-2015","sausage"
"1466_19-04-2015","beef"
"4122_23-10-2015","whole milk"
"3598_15-04-2015","pork"
"3097_10-08-2015","berries"
"1873_19-09-2015","sausage"
"1537_01-02-2015","bottled water"
"3960_25-03-2015","tropical fruit"
"1136_15-06-2015","herbs"
"2453_21-12-2015","yogurt"
"1746_15-02-2015","Instant food products"
"3572_09-06-2015","specialty chocolate"
"3246_24-06-2015","coffee"
"3207_26-11-2015","bottled beer"
"1042_12-02-2015","beef"
"1176_30-03-2015","whole milk"
"3054_23-02-2015","frankfurter"
"4486_02-12-2015","frankfurter"
"1580_05-12-2015","other vegetables"
"1623_02-11-2015","frankfurter"
"4169_24-11-2015","whole milk"
"2254_24-01-2015","frankfurter"
"4095_01-11-2015","other vegetables"
"1264_17-11-2015","bottled water"
"3375_06-01-2015","pork"
"3242_23-05-2015","bottled water"
"2227_07-06-2015","other vegetables"
"3847_03-12-2015","hamburger meat"
"3897_31-05-2015","hamburger meat"
"1799_27-09-2015","shopping bags"
"2920_26-04-2015","whole milk"
"3713_31-01-2015","ice cream"
"4230_05-11-2015","pastry"
"1455_18-03-2015","ham"
"3687_18-03-2015","frankfurter"
"3869_01-08-2015","sausage"
"2988_14-10-2015","bottled beer"
"4242_30-03-2015","bottled water"
"4118_24-12-2015","meat"
"4996_24-10-2015","dessert"
"4489_04-03-2015","other vegetables"
"1199_09-11-2015","beverages"
"4108_12-05-2015","ham"
"3484_05-06-2015","specialty bar"
"1239_31-08-2015","brown bread"
"4839_19-12-2015","whole milk"
"4748_07-05-2015","rolls/buns"
"4426_06-06-2015","bottled beer"
"3571_11-12-2015","pet care"
"2852_08-06-2015","citrus fruit"
"3638_26-05-2015","pork"
"3635_10-03-2015","other vegetables"
"2723_07-05-2015","white wine"
"3495_11-03-2015","whole milk"
"2813_16-11-2015","pip fruit"
"2799_02-09-2015","sugar"
"4723_22-05-2015","tropical fruit"
"3313_08-04-2015","root vegetables"
"4748_15-12-2015","soda"
"2991_16-02-2015","whole milk"
"1483_01-04-2015","tropical fruit"
"3950_01-10-2015","white bread"
"1634_16-01-2015","brown bread"
"2694_21-11-2015","tropical fruit"
"2707_18-10-2015","domestic eggs"
"2813_16-07-2015","coffee"
"2276_11-01-2015","soda"
"4726_06-02-2015","whole milk"
"4353_25-05-2015","bottled beer"
"4017_13-08-2015","pork"
"1422_21-08-2015","other vegetables"
"2714_15-03-2015","yogurt"
"2769_21-07-2015","sparkling wine"
"4166_30-04-2015","bottled water"
"3614_02-03-2015","citrus fruit"
"4361_05-09-2015","hamburger meat"
"1922_22-09-2015","packaged fruit/vegetables"
"4728_06-09-2015","other vegetables"
"3646_08-08-2015","soda"
"1155_10-08-2015","whole milk"
"2119_11-06-2015","herbs"
"1602_29-08-2015","citrus fruit"
"1074_24-06-2015","misc. beverages"
"2256_11-04-2015","female sanitary products"
"1348_17-09-2015","soda"
"3806_28-08-2015","tropical fruit"
"1711_06-06-2015","soda"
"3959_12-04-2015","white bread"
"1590_15-08-2015","coffee"
"1962_08-06-2015","tropical fruit"
"1766_21-01-2015","pork"
"2551_21-10-2015","citrus fruit"
"2294_23-09-2015","frankfurter"
"4531_29-05-2015","frankfurter"
"2957_12-04-2015","frankfurter"
"4415_27-01-2015","other vegetables"
"1476_26-08-2015","yogurt"
"3978_23-07-2015","sausage"
"2062_22-09-2015","whole milk"
"3252_28-06-2015","pip fruit"
"3922_24-06-2015","whole milk"
"1491_17-10-2015","root vegetables"
"3526_26-08-2015","onions"
"4060_11-12-2015","specialty chocolate"
"1067_08-04-2015","hamburger meat"
"2840_27-01-2015","photo/film"
"4484_27-11-2015","rolls/buns"
"2353_07-02-2015","canned beer"
"3130_18-02-2015","canned beer"
"4273_14-06-2015","other vegetables"
"4565_30-12-2015","canned beer"
"2504_14-08-2015","curd"
"4127_23-10-2015","butter"
"2690_01-04-2015","other vegetables"
"4129_22-09-2015","whole milk"
"4511_29-06-2015","beef"
"1602_04-08-2015","sausage"
"4369_01-02-2015","soda"
"1302_29-09-2015","fruit/vegetable juice"
"3326_30-04-2015","rolls/buns"
"2066_21-05-2015","pip fruit"
"3483_15-01-2015","frozen vegetables"
"2840_12-02-2015","beverages"
"1807_18-05-2015","hamburger meat"
"2067_12-08-2015","root vegetables"
"3783_17-02-2015","canned beer"
"2884_04-01-2015","frozen vegetables"
"2908_15-03-2015","canned beer"
"1330_10-07-2015","newspapers"
"2293_08-05-2015","rolls/buns"
"3718_20-05-2015","hamburger meat"
"4338_25-01-2015","pip fruit"
"3486_08-11-2015","canned beer"
"3635_04-09-2015","grapes"
"2857_18-02-2015","root vegetables"
"3684_13-08-2015","citrus fruit"
"3120_20-10-2015","cling film/bags"
"3872_19-03-2015","frankfurter"
"2777_07-04-2015","whole milk"
"2702_27-05-2015","pork"
"4796_29-06-2015","chicken"
"1564_23-10-2015","sausage"
"2740_02-07-2015","specialty bar"
"1833_13-04-2015","whipped/sour cream"
"1757_23-12-2015","root vegetables"
"2975_24-10-2015","rolls/buns"
"4032_10-08-2015","other vegetables"
"3979_16-09-2015","citrus fruit"
"3772_09-03-2015","whole milk"
"4523_28-10-2015","frankfurter"
"4004_19-04-2015","coffee"
"2936_08-06-2015","ham"
"2394_21-06-2015","canned beer"
"4616_16-08-2015","canned beer"
"2362_08-07-2015","canned beer"
"3593_03-11-2015","pip fruit"
"4389_27-08-2015","pork"
"3206_11-08-2015","soap"
"4601_04-01-2015","pip fruit"
"4382_13-11-2015","beef"
"2718_08-06-2015","sausage"
"4691_12-10-2015","frozen chicken"
"3735_28-11-2015","soda"
"3900_20-12-2015","tropical fruit"
"4959_30-06-2015","other vegetables"
"1815_30-08-2015","beef"
"2454_08-04-2015","meat"
"4778_15-01-2015","meat"
"2289_04-11-2015","bottled water"
"1734_13-07-2015","rolls/buns"
"4019_05-02-2015","pastry"
"4605_28-05-2015","pork"
"4864_14-11-2015","pip fruit"
"4205_22-02-2015","beef"
"1862_03-08-2015","beef"
"1846_19-07-2015","rolls/buns"
"2019_28-05-2015","citrus fruit"
"2042_19-11-2015","meat"
"1768_26-05-2015","beverages"
"3847_26-03-2015","beef"
"3557_20-07-2015","ham"
"3975_27-02-2015","hamburger meat"
"4198_18-03-2015","beef"
"2580_04-09-2015","beef"
"3474_25-08-2015","root vegetables"
"1678_14-11-2015","citrus fruit"
"4254_14-08-2015","yogurt"
"4704_21-08-2015","tropical fruit"
"3343_10-05-2015","frankfurter"
"3812_24-06-2015","beef"
"3093_13-03-2015","shopping bags"
"2170_18-06-2015","canned beer"
"4867_29-10-2015","rolls/buns"
"3899_23-03-2015","other vegetables"
"2941_03-10-2015","hamburger meat"
"1958_03-07-2015","hamburger meat"
"2760_08-08-2015","frankfurter"
"4413_03-08-2015","bottled beer"
"1737_15-05-2015","tropical fruit"
"4202_18-02-2015","soda"
"1065_13-11-2015","frankfurter"
"3819_28-06-2015","chicken"
"2854_08-02-2015","coffee"
"4387_16-09-2015","whole milk"
"4530_12-04-2015","margarine"
"4191_03-11-2015","tropical fruit"
"3102_04-12-2015","meat"
"1946_25-01-2015","cream cheese "
"2156_15-05-2015","newspapers"
"1444_16-12-2015","rolls/buns"
"1699_14-05-2015","citrus fruit"
"4954_04-05-2015","whole milk"
"2207_08-04-2015","frankfurter"
"4826_28-01-2015","ham"
"2374_08-06-2015","frankfurter"
"1604_18-08-2015","sausage"
"4437_29-11-2015","domestic eggs"
"2319_10-05-2015","whole milk"
"3018_27-06-2015","rolls/buns"
"1195_28-09-2015","whole milk"
"1768_04-09-2015","sausage"
"3017_28-09-2015","curd"
"3384_29-11-2015","bottled water"
"1918_30-01-2015","beef"
"2524_17-10-2015","frankfurter"
"2798_17-06-2015","chicken"
"2096_25-01-2015","sausage"
"1489_13-03-2015","pork"
"1431_20-07-2015","yogurt"
"2747_05-07-2015","whole milk"
"3054_22-03-2015","frankfurter"
"2691_09-10-2015","beef"
"1752_19-04-2015","pip fruit"
"3027_15-09-2015","sausage"
"4452_17-06-2015","pastry"
"4129_13-08-2015","chicken"
"3523_09-11-2015","root vegetables"
"2128_11-02-2015","whole milk"
"4867_03-02-2015","detergent"
"4762_30-10-2015","rolls/buns"
"1632_29-05-2015","house keeping products"
"4018_17-11-2015","yogurt"
"1722_13-07-2015","tropical fruit"
"1438_19-10-2015","tropical fruit"
"3958_27-10-2015","curd"
"3292_13-09-2015","beef"
"2861_23-02-2015","whole milk"
"1757_24-02-2015","pork"
"1509_30-12-2015","other vegetables"
"2364_11-05-2015","rolls/buns"
"3084_26-10-2015","frankfurter"
"1850_17-02-2015","yogurt"
"1949_17-03-2015","whole milk"
"4740_02-10-2015","bottled water"
"1072_23-10-2015","frankfurter"
"4196_09-07-2015","rolls/buns"
"4814_13-09-2015","whole milk"
"1514_28-02-2015","rolls/buns"
"4584_25-10-2015","chicken"
"2751_03-02-2015","tropical fruit"
"4155_24-09-2015","sausage"
"4670_11-10-2015","sausage"
"4566_27-07-2015","frankfurter"
"2371_30-08-2015","UHT-milk"
"3442_14-11-2015","rolls/buns"
"3090_27-09-2015","canned beer"
"1457_09-01-2015","yogurt"
"4952_08-04-2015","whipped/sour cream"
"3165_11-01-2015","rolls/buns"
"2608_19-09-2015","rolls/buns"
"2040_07-10-2015","beverages"
"1327_09-08-2015","rolls/buns"
"3363_07-01-2015","rolls/buns"
"1731_09-09-2015","bottled beer"
"2760_02-08-2015","citrus fruit"
"3120_14-01-2015","bottled water"
"1332_30-04-2015","pastry"
"4530_12-09-2015","domestic eggs"
"3145_23-02-2015","beef"
"1099_13-08-2015","spread cheese"
"3188_06-12-2015","tropical fruit"
"3748_13-10-2015","packaged fruit/vegetables"
"4655_31-03-2015","whole milk"
"1827_01-05-2015","meat"
"2485_17-02-2015","onions"
"4683_15-01-2015","frankfurter"
"4358_06-11-2015","beef"
"1931_09-10-2015","beef"
"2490_18-12-2015","sausage"
"4842_08-12-2015","chicken"
"4616_01-01-2015","canned beer"
"2810_22-09-2015","sausage"
"2785_18-10-2015","tropical fruit"
"3591_20-07-2015","frankfurter"
"3896_10-09-2015","sausage"
"3842_01-07-2015","beef"
"2648_10-07-2015","tropical fruit"
"4688_02-10-2015","yogurt"
"3511_26-08-2015","frankfurter"
"3084_04-09-2015","bottled beer"
"3810_07-05-2015","grapes"
"4348_26-02-2015","beverages"
"3584_10-03-2015","curd"
"2620_11-06-2015","ice cream"
"2716_18-01-2015","sausage"
"3797_10-08-2015","other vegetables"
"2976_02-06-2015","dessert"
"2762_07-11-2015","decalcifier"
"3752_25-04-2015","canned beer"
"1659_30-11-2015","coffee"
"4109_08-02-2015","berries"
"1542_07-08-2015","pork"
"2068_07-06-2015","frankfurter"
"4509_14-06-2015","pork"
"4646_14-06-2015","frankfurter"
"2122_07-04-2015","frozen dessert"
"2730_15-06-2015","chicken"
"1800_31-07-2015","vinegar"
"1456_18-09-2015","rolls/buns"
"1138_02-09-2015","whole milk"
"4104_12-06-2015","pork"
"4985_28-02-2015","rolls/buns"
"3181_13-12-2015","grapes"
"3178_21-10-2015","frankfurter"
"1688_10-11-2015","finished products"
"1488_28-11-2015","onions"
"4975_08-05-2015","tropical fruit"
"4697_09-01-2015","other vegetables"
"4742_11-01-2015","ham"
"2640_22-04-2015","other vegetables"
"2548_25-12-2015","curd"
"2825_29-12-2015","sausage"
"2592_04-07-2015","canned beer"
"3622_28-12-2015","ham"
"4852_21-08-2015","packaged fruit/vegetables"
"1839_03-09-2015","meat"
"2413_04-04-2015","whole milk"
"2982_14-06-2015","canned beer"
"1981_31-10-2015","chicken"
"4440_21-09-2015","rolls/buns"
"3497_24-11-2015","pet care"
"3668_18-12-2015","root vegetables"
"4460_28-05-2015","pastry"
"1335_16-01-2015","frankfurter"
"4303_07-12-2015","chicken"
"3508_28-02-2015","frozen dessert"
"1959_19-03-2015","citrus fruit"
"3856_06-03-2015","sausage"
"3141_29-07-2015","root vegetables"
"4640_25-09-2015","root vegetables"
"4851_25-05-2015","bottled beer"
"3306_22-09-2015","frankfurter"
"2193_08-04-2015","root vegetables"
"1156_13-09-2015","berries"
"4596_08-04-2015","hamburger meat"
"1245_08-10-2015","tropical fruit"
"1515_05-07-2015","frankfurter"
"2564_14-07-2015","frankfurter"
"4527_18-10-2015","soda"
"2487_09-07-2015","ice cream"
"3420_27-02-2015","beef"
"4442_28-11-2015","whole milk"
"3164_30-04-2015","pork"
"3601_01-04-2015","whole milk"
